facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F0000,Central,7.3,2.2,Medium,Yes,65,3,2024-01-21
F0001,West,6.4,2.2,Low,Yes,26,0,2024-09-28
F0002,East,10.0,1.3,Medium,Yes,126,0,2024-02-20
F0003,South,6.5,3.9,Medium,Yes,425,1,2024-02-09
F0004,South,5.2,2.5,Low,Yes,179,1,2024-08-05
F0005,North,7.3,3.6,Medium,Yes,126,2,2024-10-18
F0006,North,6.9,3.6,Medium,Yes,34,0,2024-06-28
F0007,North,8.6,4.7,Medium,No,167,3,2024-08-29
F0008,North,5.6,0.8,Medium,No,301,0,2024-06-30
F0009,Central,8.2,5.1,Medium,Yes,447,1,2024-03-28
F0010,West,8.3,4.5,Low,Yes,453,0,2024-11-23
F0011,Central,6.0,3.7,High,Yes,114,1,2024-07-26
F0012,East,7.2,5.9,Low,Yes,315,1,2024-01-16
F0013,West,5.8,3.2,Medium,Yes,344,1,2024-12-01
F0014,Central,10.0,4.0,Low,Yes,68,1,2024-04-08
F0015,West,5.9,2.1,High,Yes,-50,2,2024-01-19
F0016,West,6.3,4.4,Medium,Yes,269,1,2024-04-21
F0017,East,5.4,3.2,Low,Yes,294,1,2024-09-16
F0018,East,6.5,2.5,Medium,Yes,92,2,2024-05-29
F0019,Central,7.0,5.5,Low,Yes,389,0,2024-09-04
F0020,South,8.2,2.6,Low,Yes,31,2,2024-02-13
F0021,Central,6.1,3.0,High,Yes,291,1,2024-08-15
F0022,West,6.7,2.8,Low,Yes,196,3,2024-11-27
F0023,North,4.9,2.1,Low,Yes,497,2,2024-08-17
F0024,South,5.8,3.6,Medium,Yes,156,2,2024-03-03
F0025,Central,10.0,3.9,Medium,Yes,303,0,2024-04-25
F0026,East,8.6,3.4,High,Yes,47,2,2024-10-31
F0027,North,5.8,0.2,High,Yes,221,2,2024-01-09
F0028,West,5.0,4.2,Medium,Yes,346,1,2024-04-15
F0029,West,5.5,2.6,Low,Yes,162,2,2024-05-20
F0030,Central,7.0,1.5,Medium,Yes,463,1,2024-01-04
F0031,North,7.1,3.7,Medium,Yes,324,1,2024-11-10
F0032,North,5.9,3.7,Low,Yes,325,2,2024-04-24
F0033,Central,5.1,1.7,Low,Yes,365,4,2024-07-09
F0034,North,9.1,6.0,Low,Yes,442,0,2024-03-01
F0035,East,7.7,1.5,Low,Yes,215,3,2024-04-09
F0036,North,6.4,0.9,Low,Yes,190,3,2024-07-30
F0037,South,6.7,1.6,Medium,Yes,476,3,2024-03-25
F0038,East,6.2,4.7,Low,Yes,284,2,2024-12-10
F0039,East,2.6,2.8,High,Yes,350,2,2024-07-09
F0040,East,7.2,2.6,Low,No,247,4,2024-07-14
F0041,North,5.4,2.9,Medium,Yes,312,1,2024-10-24
F0042,North,5.5,2.3,Medium,Yes,75,1,2024-06-18
F0043,North,6.0,2.2,Low,Yes,159,2,2024-01-16
F0044,North,8.1,2.2,Low,Yes,398,4,2024-09-11
F0045,West,5.2,3.8,Low,Yes,492,3,2024-02-01
F0046,East,4.8,4.2,Low,Yes,214,2,2024-03-27
F0047,West,8.0,1.7,Low,Yes,136,1,2024-06-24
F0048,South,8.1,3.3,Low,Yes,198,2,2024-03-03
F0049,West,5.6,3.9,Low,Yes,256,1,2024-10-09
F0050,West,7.8,1.7,Low,No,295,1,2024-07-31
F0051,South,6.6,2.4,Low,Yes,240,3,2024-09-01
F0052,East,7.5,1.8,Low,Yes,83,1,2024-06-06
F0053,Central,5.1,1.5,Low,Yes,245,2,2024-08-22
F0054,Central,8.2,3.1,Low,Yes,291,3,2024-01-01
F0055,Central,8.8,2.1,Low,Yes,193,1,2024-10-18
F0056,South,8.0,3.8,Low,No,458,2,2024-03-26
F0057,West,7.8,3.0,High,Yes,362,1,2024-03-18
F0058,Central,1.3,3.5,Low,Yes,27,3,2024-05-07
F0059,West,7.4,2.6,Low,Yes,411,1,2024-07-20
F0060,Central,7.0,2.2,Medium,Yes,411,1,2024-12-29
F0061,West,6.8,2.9,Medium,Yes,85,2,2024-06-01
F0062,West,6.1,3.0,Low,Yes,419,0,2024-04-04
F0063,South,7.1,2.2,Medium,Yes,39,0,2024-10-23
